State,Priority state?,Researcher initials,Agency responsible for permitting BUGs,Source for agency responsible for permitting BUGs,Data availability,Source for data availability,Notes,,,
AZ,1,AJ,"need an Air Quality individual permit for facilities that don't qualify for a general permit and covers Class I and II permits; includes all industrial activities not covered under a general permit, that emit air pollution in excess of the permitting standards and/or trigger federal requirements; may have a categorical exemption. the page for a generators GP (requirement for powerplants with generators is gone) regulated on county level (Pima ex)) I believe they got rid of the generator specific permit",https://azdeq.gov/why-do-i-need-air-quality-individual-permit https://azdeq.gov/node/513 https://azdeq.gov/permits-needed-power-plant https://www.pima.gov/456/Class-I-Permits,"under air quality, databases on daily, exceedences, and monitoring of pollutants. search for dates, counties in AZ, or pollutants.Also have an Emissions Bank Credit Database to search for particular pollutants; may be harder to track how backup generators contribute t these emissions",https://azdeq.gov/databases,,,,
PA,1,,,,,,,,,
AL,,,,,,,,,,
AK,,,,,,,,,,
AR,,,,,,,,,,
AS,,,,,,,,,,
CO,,,,,,,,,,
CT,,,,,,,,,,
DE,,,,,,,,,,
DC,,,,,,,,,,
GA,,,,,,,,,,
HI,,,,,,,,,,
ID,,,,,,,,,,
IL,,,,,,,,,,
IN,,,,,,,,,,
IA,,,,,,,,,,
KS,,,,,,,,,,
KY,,,,,,,,,,
LA,,,,,,,,,,
MI,,,,,,,,,,
MS,,,,,,,,,,
MO,,,,,,,,,,
MT,,,,,,,,,,
NE,,,,,,,,,,
NV,,,,,,,,,,
NH,,,,,,,,,,
NM,,,,,,,,,,
NC,,,,,,,,,,
ND,,,,,,,,,,
OH,,,https://www.ohca.org/uploads/news/OHCA_Generator_Whitepaper.pdf Fire Marshal required permit circa 2012 - specifically for storage of fuel; nursing facilities requiring generators; by city requirements found Avon https://www.cityofavon.com/DocumentCenter/View/3277/Back-Up-Generator-Guidelines--Permit-Application ,,,,,,,
OK,,,,,,,,,,
OR,,,,,,,,,,
RI,,,,,,,,,,
SC,,,,,,,,,,
SD,,,,,,,,,,
TN,,,,,,,,,,
TX,,,,,,,,,,
UT,,,,,,,,,,
VT,,,,,,,,,,
VA,,,,,,,,,,
VI,,,,,,,,,,
WV,,,,,,,,,,
WI,,,,,,,,,,
WY,,,,,,,,,,
